SK_ID_CURR,TARGET,C_CNT_CHILDREN,C_AMT_INCOME_TOTAL,C_AMT_CREDIT,C_AMT_ANNUITY,C_AMT_GOODS_PRICE,C_OWN_CAR_AGE,C_TOTALAREA_MODE,D_OCCUPATION_TYPE,D_NAME_CONTRACT_TYPE,D_CODE_GENDER,D_FLAG_OWN_CAR,D_FLAG_OWN_REALTY,D_NAME_INCOME_TYPE,D_NAME_EDUCATION_TYPE,D_NAME_FAMILY_STATUS,D_NAME_HOUSING_TYPE,D_FLAG_PHONE,D_WEEKDAY_APPR_PROCESS_START,D_NAME_TYPE_SUITE,D_HOUSETYPE_MODE,D_WALLSMATERIAL_MODE
216875,0,0,31500.0,238500.0,10503.0,238500.0,,0.0119,,Cash loans,M,N,Y,Pensioner,Higher education,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
129913,0,0,126000.0,382500.0,19125.0,382500.0,,0.0879,Sales staff,Revolving loans,F,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
249923,0,2,112500.0,592560.0,31023.0,450000.0,,,Core staff,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,1,THURSDAY,Unaccompanied,,
318314,0,0,112500.0,589045.5,26077.5,508500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
238253,0,0,157500.0,269550.0,10975.5,225000.0,,0.0113,,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
121643,0,0,176175.0,1042560.0,32863.5,900000.0,,0.0394,Sales staff,Cash loans,M,N,N,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,THURSDAY,Unaccompanied,block of flats,Panel
362691,0,1,157500.0,284400.0,22599.0,225000.0,,,,Cash loans,F,N,N,Working,Higher education,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
451467,0,1,216000.0,545040.0,20677.5,450000.0,,,Sales staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,FRIDAY,Unaccompanied,,
304647,0,1,126000.0,225000.0,17775.0,225000.0,0.0,0.1016,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
384265,0,1,135000.0,675000.0,32602.5,675000.0,,0.0786,High skill tech staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,,
258300,0,0,67500.0,1209541.5,40104.0,990000.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,,
307895,0,0,225000.0,239850.0,22423.5,225000.0,,,,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,,
366021,0,0,225000.0,379008.0,38835.0,360000.0,2.0,,,Cash loans,F,Y,Y,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,THURSDAY,Unaccompanied,,
241632,0,1,81000.0,480060.0,22509.0,337500.0,64.0,0.0704,Drivers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
400846,0,0,360000.0,675000.0,35082.0,675000.0,2.0,0.2432,Managers,Cash loans,M,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,Monolithic
398821,0,0,90000.0,382500.0,37260.0,382500.0,,0.115,Cleaning staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Widow,House / apartment,0,WEDNESDAY,Other_A,block of flats,Panel
212338,0,0,315000.0,76500.0,7834.5,76500.0,5.0,,Core staff,Cash loans,M,Y,Y,Commercial associate,Incomplete higher,Married,House / apartment,0,SUNDAY,Unaccompanied,,
390417,0,3,99000.0,202500.0,15898.5,202500.0,1.0,0.0693,Sales staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,"Stone, brick"
172467,0,0,202500.0,315000.0,18211.5,315000.0,6.0,0.0062,Sales staff,Cash loans,F,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,1,SATURDAY,Other_B,block of flats,
291154,0,0,67500.0,521280.0,21231.0,450000.0,,0.0704,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,1,SATURDAY,Unaccompanied,block of flats,Panel
426037,0,0,405000.0,779688.0,33034.5,630000.0,10.0,0.0404,,Cash loans,M,Y,Y,Working,Incomplete higher,Widow,House / apartment,0,SATURDAY,Unaccompanied,block of flats,Panel
344075,0,0,135000.0,521280.0,31630.5,450000.0,7.0,,,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,FRIDAY,Unaccompanied,,
283511,0,0,90000.0,225000.0,12204.0,225000.0,,0.0364,Laborers,Cash loans,M,N,N,Working,Secondary / secondary special,Married,Rented apartment,1,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
363804,0,0,211500.0,523152.0,40617.0,463500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Family,,
181786,0,1,247500.0,127350.0,13500.0,112500.0,4.0,,Laborers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Children,,
116221,0,0,90000.0,459000.0,16861.5,459000.0,4.0,,Accountants,Cash loans,F,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,,
209688,0,0,90000.0,180000.0,9000.0,180000.0,9.0,,Accountants,Revolving loans,F,Y,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,MONDAY,Unaccompanied,,
280796,0,1,180000.0,1255680.0,41629.5,1125000.0,,,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,With parents,0,WEDNESDAY,Unaccompanied,,
232890,0,2,81000.0,50940.0,5166.0,45000.0,25.0,,Accountants,Cash loans,F,Y,N,Working,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,,
392170,0,0,112500.0,1300500.0,38155.5,1300500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,,
411982,0,0,90000.0,1125000.0,36292.5,1125000.0,,,Managers,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
414407,0,0,157500.0,382500.0,19125.0,382500.0,,,High skill tech staff,Revolving loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,"Spouse, partner",,
293660,0,3,184500.0,167121.0,13527.0,139500.0,18.0,0.0082,Drivers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SUNDAY,Unaccompanied,block of flats,Wooden
374339,0,0,148050.0,675000.0,46089.0,675000.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,1,TUESDAY,Unaccompanied,,
226323,0,2,180000.0,604152.0,30978.0,540000.0,,,Managers,Cash loans,M,N,Y,Working,Higher education,Civil marriage,House / apartment,1,SATURDAY,Unaccompanied,,
428964,0,0,112500.0,270000.0,13500.0,270000.0,,,Secretaries,Revolving loans,F,N,Y,State servant,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
421391,0,0,112500.0,382500.0,37390.5,382500.0,,0.1491,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,SATURDAY,Family,block of flats,Panel
121891,0,0,180000.0,792162.0,35023.5,630000.0,,,Managers,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,SUNDAY,Family,,
370166,0,1,157500.0,990432.0,32863.5,855000.0,,0.0069,Laborers,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
190194,0,1,87750.0,130500.0,12906.0,130500.0,,,,Cash loans,F,N,Y,State servant,Higher education,Married,House / apartment,1,MONDAY,Unaccompanied,,
158675,0,2,225000.0,710640.0,80370.0,675000.0,,0.1107,Managers,Cash loans,F,N,N,Commercial associate,Higher education,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
146563,1,0,180000.0,252000.0,15358.5,252000.0,,,Cooking staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
390150,1,1,225000.0,675000.0,33750.0,675000.0,,0.0737,,Revolving loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
197727,1,0,450000.0,1546020.0,42511.5,1350000.0,,0.0919,,Cash loans,F,N,Y,Pensioner,Higher education,Married,House / apartment,1,FRIDAY,Unaccompanied,block of flats,Panel
454786,0,0,180000.0,787131.0,26145.0,679500.0,,,Sales staff,Cash loans,F,N,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
190358,0,1,391500.0,640080.0,29970.0,450000.0,,0.0454,Drivers,Cash loans,M,N,N,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
